date,time,name,grade,minutes,pages,comments,truth
11/25,16:26,Kate DeForrest,0,10,15,,True
11/26,16:31,Zoe Tankersley,1,15,14,,True
11/26,19:11,Faith Kuehl,1,45,24,I read the magic tree house book,True
11/27,12:10,Taylor Flynn,0,14,16,,True
11/27,12:50,Stephen Wolf,3,23,12,At least I was getting paid!,False
11/27,13:39,Hayley Sandler,3,15,16,,True
11/28,13:42,Eli Cook,4,17,12,no,True
11/26,13:43,Bella Whittle,5,4,6,,False
11/27,13:43,Leila Abrams,3,7,19,,False
11/28,15:27,Zoe,0,90,100,I learned how to winter,True
11/24,16:55,Taylor Flynn,0,20,5,yay!,True
11/24,16:56,Ella,1,85,102,I am the best reader ever,True
11/28,16:57,Tyler Stevens,4,15,30,I read the Dubliners by James Joyce,True
11/29,19:25,Amanda Chung,3,90,100,;),True
11/29,13:08,Zoe Tankersley,2,37,14,,True
11/29,13:36,Sebastian Nowicki,0,15,4,I like goop,True
11/29,15:33,Faith Kuehl,3,35,68,I read the Emily Windsnap book,True
11/30,19:39,Stephen,2,31,23,Why does Will Muck hate my sweaters? I think they are incredible sweaters.,True
11/30,14:17,Sonya DeForrest,1,50,20,I like the pigeon on the bus,True
11/30,14:45,Charlotte DeForrest,5,7,3,I generally do not read. ,True
